序号  ,系统        ,专业  ,问题                                                                        ,答案                                                                                                                                                                                                                                                                    ,省份
531 ,采购-外部门户   ,采购  ,企业信息维护提交报错“接口返回失败：系统处理异常附件上传失败null”                                       ,"（1）特殊符号问题：内容及附件名称不能包含任何特殊符号如&、￥
（2）空白行问题：第六项认证证书列表 、第七项人力资源情况是否存在割接数据空白行；其他带星号项（如第一项供应商基本信息）是否存在空白行
（3）附件问题：单个附件必须小于20M
（4）浏览器兼容问题：建议IE9或搜狗"                                                                                                                         ,江苏
532 ,采购-外部门户   ,采购  ,企业信息维护后，“提交”按钮置灰                                                          ,数据不全：带*号项数据必填填写完整                                                                                                                                                                                                                                                     ,江苏
533 ,采购-外部门户   ,采购  ,供应商账户信息找不到开户银行                                                            ,"（1）匹配错误：“开户银行” 字段，用模糊匹配；
（2）银行信息查询：在“银行信息查询”通过联行号再次查找
（3）新增银行：系统不存在，把银行名称和联行号邮件发送财务运维：msscwxt@163.com"                                                                                                                                                               ,江苏
534 ,采购-外部门户   ,采购  ,企业信息维护审批流程需要多长时间？                                                         ,"（1）电信规定：自提交之日起3-6个工作日完成审核
（2）通知方式：系统会以邮件或短信方式通知供应商
（3）实时查询：委托电信人员到采购系统、外部门户实时查询"                                                                                                                                                                                     ,江苏
535 ,采购-外部门户   ,采购  ,什么类型的供应商在外部门户注册？什么类型的供应商在采购系统注册？                                          ,"（1）一般供应商默认都在外部门户注册（注：若要签订单和B类合同必须在门户注册）
（2）快速报账、房屋租赁类供应商建议在采购系统注册。"                                                                                                                                                                                                  ,江苏
536 ,采购-外部门户   ,采购  ,一个公司是否只能注册一个账号吗？                                                          ,一个公司可以有多个账号，在“企业用户管理”中可添加多个子账号。                                                                                                                                                                                                                                       ,江苏
537 ,采购-外部门户   ,采购  ,企业信息维护如何查看最终审批结果？                                                         ,"（1）在右上角导航栏“企业消息”中可查看最终的审批结果
（2）会员中心菜单“企业信息通知” 中可查看最终的审批结果"                                                                                                                                                                                                           ,江苏
538 ,采购-外部门户   ,采购  ,订单状态在采购系统和外部门户系统不一致如何处理？                                                  ,流程同步滞后问题：需要采购系统重新推送订单状态，可以联系采购或门户运维人员同步                                                                                                                                                                                                                               ,江苏
539 ,采购-外部门户   ,采购  ,采购系统已存在订单，外部门户查询不到是什么原因？                                                  ,"（1）查询位置不正确：在外部门户采购协同-订单处理中可查找采购订单
（2）订单未发送：在采购平台查看订单是否已发送门户，若未发送，联系采购管理员或采购运维发送
（3）账号权限问题：对应省份才能看到对应订单。到会员中心-个人信息修改“业务省份”，配置对应省份"                                                                                                                                    ,江苏
540 ,采购-外部门户   ,采购  ,订单已经收货，但在外部门户系统中还是未回单状态，该如何处理。                                            ,物流系统未做收货操作：找采购管理员在系统中做收货                                                                                                                                                                                                                                              ,江苏
541 ,采购-外部门户   ,采购  ,为什么有部分订单只能看到订单金额？                                                         ,老系统订单：以LSDD开头的订单是历史订单，只能查看订单金额。                                                                                                                                                                                                                                       ,江苏
542 ,采购-外部门户   ,采购  ,施工委托签收后，选择不到对应的“施工人员”？                                                    ,"账号不存在：到会员中心-企业用户管理里添加子账号
账号权限问题：到会员中心-企业用户管理里中授予“施工负责人”权限"                                                                                                                                                                                                           ,江苏
543 ,采购-外部门户   ,采购  ,委托单状态“已回退”是不正确的，如何处理？                                                     ,误操作：委托单已经被退回到计划建设，需要找工程管理员或计划建设运维人员重新发送                                                                                                                                                                                                                               ,江苏
544 ,采购-外部门户   ,采购  ,登录外部门户平台没有采购协同模块                                                          ,配置不正确：需要到供应商基本信息“业务类型”中勾选“物资类”提交审核                                                                                                                                                                                                                                    ,江苏
545 ,采购-外部门户   ,采购  ,工程状态在计划建设系统和外部门户系统不一致如何处理？                                                ,找计划建设运维同步工程状态到门户                                                                                                                                                                                                                                                      ,江苏
546 ,采购-外部门户   ,采购  ,工程翼账号如何添加                                                                 ,账号不存在：公司管理员在会员中心-企业用户管理里添加，12小时后才可在工程翼使用                                                                                                                                                                                                                              ,江苏
547 ,采购-外部门户   ,采购  ,订单确认金额如何修改？                                                               ,"1、服务类订单
（1）订单金额比实际金额大
可进行服务进度确认，确认想要的金额，若一定要改的话，可作废订单重新发
（2）订单金额比实际金额小
  ①订单金额小于实际金额部分小于20%，在计划建设系统进行补签订单
  ②订单金额小于实际金额部分大于20%，需作废订单重新发
2、物资类订单
（1）物资类订单，需作废订单重新发"                                                                                                   ,江苏
548 ,采购-外部门户   ,采购  ,已经指派的施工人员如何修改？                                                            ,"（1）数据调整：工程开工之前可找有合作的电信人员提ITSM数据调整单清空施工人员，重新指派
（2）作废委托：找工程管理员作废施工委托，重新签收指派"                                                                                                                                                                                           ,江苏
